(-13.4, -19.3, 0.0)
(-13.4, -22.0, 0.0)
(-13.4, -22.0, 0.0)
(-13.4, -19.3, 0.0)
(-13.4, -16.5, 0.0)
(-13.4, -16.5, 0.0)
(-13.4, -13.8, 0.0)
(-13.4, -13.8, 0.0)
(-13.4, -11.0, 0.0)
(-13.4, -11.0, 0.0)
(-13.4, -8.3, 0.0)
(-13.4, -8.3, 0.0)
(-13.4, -5.5, 0.0)
(-13.4, -5.5, 0.0)
(-13.4, -2.7, 0.0)
(-13.4, -2.7, 0.0)
(-13.4, 0.0, 0.0)
(-13.4, 0.0, 0.0)
(-13.4, 2.8, 0.0)
(-13.4, 2.8, 0.0)
(-13.4, 5.5, 0.0)
(-13.4, 5.5, 0.0)
(-13.4, 8.3, 0.0)
(-13.4, 8.3, 0.0)
(-13.4, 11.0, 0.0)
(-13.4, 11.0, 0.0)
(-13.4, 13.8, 0.0)
(-13.4, 13.8, 0.0)
(-13.4, 16.5, 0.0)
(-13.4, 16.5, 0.0)
(-13.4, 19.3, 0.0)
(-13.4, 19.3, 0.0)
(-13.4, 22.0, 0.0)
(-13.4, 22.0, 0.0)
(-12.1, 22.0, 1.0)
(-12.1, 22.0, 1.0)
(-10.8, 22.0, 2.1)
(-10.8, 22.0, 2.1)
(-9.7, 22.0, 3.3)
(-9.7, 22.0, 3.2)
(-8.6, 22.0, 4.6)
(-8.6, 22.0, 4.5)
(-7.8, 21.9, 5.9)
(-7.8, 21.9, 5.9)
(-7.1, 21.9, 7.5)
(-7.1, 21.9, 7.4)
(-6.6, 21.9, 9.0)
(-6.6, 21.9, 9.0)
(-6.2, 21.8, 10.6)
(-6.3, 21.8, 10.6)
(-6.0, 21.7, 12.2)
(-6.0, 21.7, 12.2)
(-5.8, 21.7, 13.9)
(-5.9, 21.7, 13.9)
(-5.7, 21.6, 15.5)
(-5.8, 21.6, 15.5)
(-5.7, 21.6, 17.2)
(-5.7, 21.5, 17.2)
(-5.7, 21.5, 18.9)
(-5.7, 21.5, 18.9)
(-5.7, 21.4, 20.5)
(-5.7, 21.4, 20.5)
(-5.7, 21.3, 22.2)
(-5.7, 21.3, 22.2)
(-5.7, 21.3, 23.8)
(-5.8, 21.2, 23.8)
(-5.9, 21.2, 25.6)
(-5.9, 21.2, 25.6)
(-6.0, 21.1, 27.4)
(-6.0, 21.1, 27.4)
(-6.2, 21.0, 29.2)
(-6.2, 21.0, 29.2)
(-6.4, 20.9, 31.0)
(-6.3, 20.9, 31.0)
(-4.1, -22.9, 27.2)
(-4.3, -23.0, 29.0)
(-4.2, -23.0, 29.0)
(-4.1, -22.9, 27.2)
(-4.0, -22.8, 25.4)
(-3.9, -22.8, 25.4)
(-3.8, -22.7, 23.6)
(-3.8, -22.7, 23.6)
(-3.7, -22.6, 21.8)
(-3.6, -22.6, 21.8)
(-3.6, -22.5, 20.2)
(-3.6, -22.6, 20.2)
(-3.6, -22.5, 18.5)
(-3.6, -22.5, 18.5)
(-3.6, -22.4, 16.8)
(-3.6, -22.4, 16.8)
(-3.7, -22.3, 15.2)
(-3.6, -22.3, 15.2)
(-3.8, -22.3, 13.5)
(-3.7, -22.3, 13.5)
(-3.9, -22.2, 11.9)
(-3.9, -22.2, 11.9)
(-4.2, -22.1, 10.2)
(-4.1, -22.2, 10.2)
(-4.5, -22.1, 8.6)
(-4.5, -22.1, 8.6)
(-5.0, -22.0, 7.0)
(-5.0, -22.1, 7.0)
(-5.6, -22.0, 5.5)
(-5.6, -22.0, 5.5)
(-6.4, -22.0, 4.1)
(-6.4, -22.0, 4.1)
(-7.5, -22.0, 2.8)
(-7.5, -22.0, 2.8)
(-8.7, -22.0, 1.7)
(-8.7, -22.0, 1.7)
(-10.2, -22.0, 0.9)
(-10.2, -22.0, 1.0)
(-11.7, -22.0, 0.4)
(-11.7, -22.0, 0.5)
(-6.2, 18.2, 30.9)
(-6.2, 18.2, 30.9)
